10001,44,22,0.5,22,0.5
10002,35,19,0.54,16,0.46
10003,1,1,1,0,0
10005,2,2,1,0,0
10006,6,2,0.33,4,0.67
10007,1,0,0,1,1
10009,2,0,0,2,1
10011,3,2,0.67,1,0.33
10013,8,1,0.13,7,0.88
10016,17,12,0.71,5,0.29
10018,3,2,0.67,1,0.33
10022,1,1,1,0,0
10023,7,5,0.71,2,0.29
10024,4,4,1,0,0
10025,27,17,0.63,10,0.37
10027,7,4,0.57,3,0.43
10029,20,13,0.65,7,0.35
10032,13,4,0.31,9,0.69
10036,2,2,1,0,0
10038,16,11,0.69,5,0.31
10040,5,4,0.8,1,0.2
10306,1,0,0,1,1
10451,41,21,0.51,20,0.49
10452,17,12,0.71,5,0.29
10453,14,7,0.5,7,0.5
10454,18,8,0.44,10,0.56
10455,27,17,0.63,10,0.37
10456,5,3,0.6,2,0.4
10458,52,25,0.48,27,0.52
10459,7,5,0.71,2,0.29
10460,27,20,0.74,7,0.26
10461,49,26,0.53,23,0.47
10462,3,2,0.67,1,0.33
10463,59,33,0.56,26,0.44
10464,15,7,0.47,8,0.53
10465,21,17,0.81,4,0.19
10466,65,39,0.6,26,0.4
10467,106,65,0.61,41,0.39
10468,81,46,0.57,35,0.43
10469,10,7,0.7,3,0.3
10471,43,24,0.56,19,0.44
10475,20,12,0.6,8,0.4
11101,1,0,0,1,1
11201,11,6,0.55,5,0.45
11203,15,12,0.8,3,0.2
11204,37,17,0.46,20,0.54
11205,5,5,1,0,0
11206,13,3,0.23,10,0.77
11210,36,12,0.33,24,0.67
11211,34,31,0.91,3,0.09
11212,10,8,0.8,2,0.2
11213,38,17,0.45,21,0.55
11214,10,7,0.7,3,0.3
11218,111,97,0.87,14,0.13
11219,214,182,0.85,32,0.15
11220,8,1,0.13,7,0.88
11223,109,53,0.49,56,0.51
11224,93,53,0.57,40,0.43
11225,52,52,1,0,0
11226,10,7,0.7,3,0.3
11229,52,32,0.62,20,0.38
11230,248,194,0.78,54,0.22
11233,14,6,0.43,8,0.57
11234,59,29,0.49,30,0.51
11235,50,17,0.34,33,0.66
11236,7,3,0.43,4,0.57
11354,2,1,0.5,1,0.5
11368,5,4,0.8,1,0.2
11372,2,1,0.5,1,0.5
11373,3,3,1,0,0
11374,2,0,0,2,1
11375,5,2,0.4,3,0.6
11415,11,6,0.55,5,0.45
11418,4,2,0.5,2,0.5
11419,1,0,0,1,1
11420,2,1,0.5,1,0.5
11427,2,0,0,2,1
11432,2,2,1,0,0
11434,4,1,0.25,3,0.75
11510,28,6,0.21,22,0.79
11691,37,12,0.32,25,0.68
11798,5,3,0.6,2,0.4
12423,21,1,0.05,20,0.95
12428,124,74,0.6,50,0.4
12435,55,5,0.09,50,0.91
12466,44,44,1,0,0
12528,52,2,0.04,50,0.96
12701,87,49,0.56,38,0.44
12733,13,6,0.46,7,0.54
12734,252,170,0.67,82,0.33
12737,35,34,0.97,1,0.03
12750,37,36,0.97,1,0.03
12751,7,2,0.29,5,0.71
12754,134,64,0.48,70,0.52
12758,82,50,0.61,32,0.39
12759,11,0,0,11,1
12763,11,11,1,0,0
12764,64,61,0.95,3,0.05
12768,63,1,0.02,62,0.98
12779,242,183,0.76,59,0.24
12783,201,66,0.33,135,0.67
12786,4,3,0.75,1,0.25
12788,83,39,0.47,44,0.53
12789,272,115,0.42,157,0.58
13731,17,2,0.12,15,0.88
